"study_id","doi","pmid","study_type","is_protocol","reason","title","manual_download_status"
"clark2021","10.1016/j.jpsychores.2021.110484","33895431","RCT",FALSE,"elsevier_paywall","Guided graded exercise self-help for chronic fatigue syndrome: Long term follow up and cost-effectiveness following the GETSET trial.","pending"
"cooper2025","10.1016/j.jbmt.2025.05.048","40954597","systematic_review",FALSE,"elsevier_paywall","Evaluating pacing therapy (PT) versus graded exercise therapy (GET) for improving fatigue, pain, and quality of life in adults with myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS): A systematic review.","pending"
"dehlia2024","10.1016/j.jinf.2024.106297","39353473","meta-analysis",FALSE,"elsevier_paywall","The persistence of myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) after SARS-CoV-2 infection: A systematic review and meta-analysis.","pending"
"del2025","10.1016/j.rehab.2024.101920","39798250","RCT",FALSE,"elsevier_paywall","Effect of respiratory rehabilitation on quality of life in individuals with post-COVID-19 symptoms: A randomised controlled trial.","pending"
"dirajlal-fargo2024","10.1016/j.mito.2024.101849","38341012","cross-sectional",FALSE,"elsevier_paywall","Altered mitochondrial respiration in peripheral blood mononuclear cells of post-acute sequelae of SARS-CoV-2 infection.","pending"
"koller2025","10.1016/j.jpsychores.2025.112152","40446594","cohort",FALSE,"elsevier_paywall","Coping competence and health outcomes in post-COVID: A prospective study on the role of adaptive strategies in symptom management and physical and mental health.","pending"
"kuut2026","10.1016/j.jpsychores.2025.112467","41317667","RCT",FALSE,"elsevier_paywall","Which cognitive-behavioural factors play a role in the reduction of post-COVID-19 fatigue following cognitive behavioural therapy and care as usual? A secondary analysis of the ReCOVer study.","pending"
"lappalainen2024","10.1016/j.jpsychores.2024.111830","38878337","RCT",FALSE,"elsevier_paywall","Online acceptance and commitment therapy (iACT) for adults with persistent physical symptoms - 3-month follow-up study of a randomized controlled trial.","pending"
"milligan2026","10.1016/j.jad.2026.121377","41687973","meta-analysis",FALSE,"elsevier_paywall","Mental health risk factors for psychological disorders after COVID-19 infection: A systematic review and meta-analysis.","pending"
"mohamed2023","10.1016/j.smrv.2023.101771","36948138","meta-analysis",FALSE,"elsevier_paywall","Objective sleep measures in chronic fatigue syndrome patients: A systematic review and meta-analysis.","pending"
"montes-ibarra2024","10.1016/j.ymeth.2024.10.004","39389403","RCT",TRUE,"elsevier_paywall","Protocol for a pilot study: Feasibility of a web-based platform to improve nutrition, mindfulness, and physical function in people living with Post COVID-19 condition (BLEND).","pending"
"ngiam2026","10.1016/j.ijid.2026.108435","41592666","cohort",FALSE,"elsevier_paywall","Early administration of neutralizing monoclonal antibodies and post-acute sequelae of COVID-19.","pending"
"salzmann2024","10.1016/j.jpsychores.2024.111902","39197231","cohort",FALSE,"elsevier_paywall","Side-effect expectations are associated with disability, physical fitness, and somatic symptoms 3 months after post-COVID neurological inpatient rehabilitation.","pending"
"sawano2025","10.1016/s1473-3099(25)00073-8","40188838","RCT",FALSE,"elsevier_paywall","Nirmatrelvir-ritonavir versus placebo-ritonavir in individuals with long COVID in the USA (PAX LC): a double-blind, randomised, placebo-controlled, phase 2, decentralised trial.","pending"
"sjogren2024","10.1016/j.clinthera.2024.05.010","38910072","cohort",FALSE,"elsevier_paywall","Successful Subcutaneous Immunoglobulin Therapy in a Case Series of Patients With Myalgic Encephalomyelitis/Chronic Fatigue Syndrome.","pending"
"smadja2026","10.1016/j.pharma.2026.02.008","41722813","cohort",FALSE,"elsevier_paywall","Soluble ST2 fails to reflect persistent endothelial dysfunction or symptoms in post-acute sequelae of COVID-19.","pending"
